,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
2848,Air Seychelles,n,Air Seychelles customer review,6th August 2013,False,After waiting in a very long slow que we were told that our flight from JHB to Seychelles was delayed 3 hours. We were given lunch vouchers for Jackson's or Mugg and Bean. Jackson's would not honor the voucher. Once again we had to queue for a long time before we could board the aircraft. We have a 6 year old and should of been allowed to join the front of the queue. Nobody from Air Seychelles assisted us. Immigration on Mahe are extremely rude and the luggage took forever to come through. After all the delay and run around they lost my sons stroller which was only found after all the passengers had left the terminal. No apology from any of the staff at the airport. Disgraceful service.,,,Economy Class,,,3.0,2.0,3.0,,3.0,,1.0,no
19349,Sunwing Airlines,2,"""I never will choose them for my vacation""",29th December 2021,True,"  When we booked our vacation in November, we were supposed to get a direct flight from saskatoon to Cancun and vice versa. One week before our vacation they informed us that it won't be a direct flight anymore and it will go to Regina and over there you have to change the plane and I asked if we can cancel it and the rep said No because on terms you agreed that Sunwing could change it without notice, I paid a lot to get a direct flight with 5-star inclusive hotel and asked if they will issue us a voucher or return any money to us and she said No. you don't have any choice just we let you know. The 9am flight changed to 7am and it had delayed in Regina because obviously, they gather travelers from 3 different cities in one area to go so we had another 2 hours delay in Regina and when we reached to Cancun, we totally lost a day as around 7pm we were in our hotel so a vacation starts with a disaster and instead of 5-6 hours flight It took us 11 hours however we paid for premium, good for Sunwing's pocket! On the return, they took us 5 hours before our departure, without they inform us that it will be a Winnipeg, Regina, and Saskatoon combination flight, they issued our tickets to Saskatoon, announced the gate, and on the last minute, they changed it to Winnipeg gate and on the air told us that you should get unplanned in Regina. When we got to Regina, they weren't ready at all. they redo everything like a new traveler that just got to the airport till we reached to our gate and it took over 3 hours in mid of the night plus another 1-hour delay, a total of 14 hours from hotel to Saskatoon! We didn't receive any apology from them at all and it hurt us a lot. In general, transportation was a disaster and we all got very unhappy and disappointed with Sunwing and I never will choose them for my vacation. I had a good experience with them before it is why I didn't look at other options such as Westjet vacation but definitely from now on, they will be my last option.",,Family Leisure,Economy Class,Saskatoon to Cancun,December 2021,2.0,2.0,1.0,2.0,,1.0,1.0,no
13825,Libyan Airlines,3,Libyan Airlines customer review,15th July 2009,False,I had three flights with Libyan Airlines in three days - Tripoli to Tunis return then Tripoli to Malta. No problem regarding check in everything fine and staff were friendly and helpful. My complaint is about the price which I think was ridiculous - Tripoli to Tunis return LD332 and its only one hour flight : Tripoli- Malta cost me LD 275.,,,,,,,,,,,,,no
1041,Air Berlin,1,"""a shameful lack of service""",17th April 2017,False,"  Prague to Berlin. The worst customer service I have experienced in 30 years of global travel. I and thousand of other had their luggage lost at Tegel airport this easter weekend. No customer service. You are directed to WISAG who they have outsource the baggage handling to. All WISAG does is direct you to a iPad and make you file your own report. Huge line up, hours long, only one clerk. They never email you to tell you the status of your baggage, they never answer the phone numbers given, they never answer the emails sent. It's been 4 days zero response. Called the Air Berlin reservation number and they say call WISAG. WISAG is totally non responsive. So basically Air Berlin says we don't care not our problem it is your problem. Destroyed my easter weekend. Flying home without luggage. Only shopping day during the holiday was Saturday which I spent replacing cloths. Air Berlin has provided a shameful lack of service. I read they delayed there long haul flights because they have a new company handling their luggage. They have been on the job since March 26 and they are even more useless than the old company. T",,Solo Leisure,Economy Class,Prague to Berlin,April 2017,2.0,2.0,,1.0,,,1.0,no
976,Air Bagan,9,Air Bagan customer review,14th November 2012,False,Recently flew throughout Myanmar on the following routes: Yangon-Mandalay-Heho-Mandalay-Nyaung U (Bagan)-Heho-Thandwe-Yangon on their Fokker 100 and ATR72 aircraft. Check-in interesting as there are no computers and everything is weighed manually. Ground crew cordial but not overly friendly. Flight crews were friendly and always helpful. Catering is good for the short flights with croissants and drinks being offered on even the shortest of flights (unthinkable in Europe). Aircraft's were always spotless and comfortable.,,,Economy Class,,,,,,,,,4.0,yes
3070,Air Transat,1,"""Such an awful airline with 0 customer service!""",3rd March 2022,True, Such an awful airline with 0 customer service! How can they change the time of our flight so significantly twice and fail to tell us the second time around? Is an email to notify your customers too much of a task for you? Absolute joke!,,Family Leisure,Economy Class,London Gatwick to Toronto,March 2022,1.0,1.0,,1.0,,,1.0,no
7164,Citilink,9,"""flight attendant nice and friendly""",10th May 2016,False,"  I flew Citilink 2 days ago from Jakarta (CGK) to Surabaya to attend the wedding party at 10am. I chose QG 801 (suppose to land at 9.15am). The only problem I have was my name was not appear on the quick check in computer terminal, but one of the ground staff quickly asked my ID, and checked me in. in the normal terminal going into the aircraft, I was greeted by a flight attendant who was nice and friendly. ",A320,Solo Leisure,Economy Class,CGK to SUB,May 2016,4.0,5.0,,3.0,,,5.0,yes
7623,Corsair,1,Corsair customer review,4th November 2013,False,Paris Orly to Forte De France dep 22/10/2013 flight SS0924. Return 29/10/2013 flight SS0925. Super airline. Check-in very easy online then printed boarding card then dropped baggage at airport. Total checkin time at airport 10 mins. Boarding was easy do it by children and elderly first then seat number. Big aeroplane. Comfortable chairs reclining with legroom. Inflight entertainment very good and the food was adequate. Staff offered exceptional service going out return journey they were adequate. Great value and more for the money.,,,Economy Class,,,,,,,,,4.0,yes
16559,Qatar Airways,5,"""my seat was uncomfortable""",14th June 2023,True,"  The aircraft was very old, the screen Tv was blurred and not working and my seat was uncomfortable. No wifi unfortunately. The cabin crew were nice, respectful and helpful.",A330-300,Solo Leisure,Economy Class,Madrid to Doha ,June 2023,1.0,5.0,4.0,3.0,1.0,1.0,3.0,yes
19726,TAM Airlines,5,TAM Airlines customer review,28th April 2014,False,GIG-JFK. Brand new B767300ER. Quick and pleasant check-in. Poor lounge. On time at departure. Very efficient and smiling flight attendants (more than on Emirates for instance). Excellent choice of wines but poor food. Full flat bed. A bit narrow and hard but adequate. On time on arrival.,,,Business Class,,,4.0,5.0,3.0,,4.0,,5.0,yes
869,Air Astana,9,"""modern, well appointed planes""",3rd November 2018,True,"  Tashkent to Hong Kong via Astana/Almaty. Arrived early at Tashkent airport just to be told that Astana Air does not offer a lounge at that airport anymore. Boarding was chaotic, as they annouced boarding, traveling business class I rushed to the gate, only to be told to wait 10 minutes. Then, they started boarding the around 100 economy class passengers as I waited standing by the counter. After around 15 minutes, I was invited to board, very weird process. Once onboard, I was greeted by 2 friendly flight attendants, who showed my seat and offered an welcome drink. Cabin was beautiful with mood lighting and well apointed, very comfortable seat for 2 hours flight. After take off, they offered more drinks with warm nuts, plus took dinner orders. Food was delicious, well prepared and of high quality. Next flight from Astana to Almaty, they offered a good lounge in Astana, with some basic snacks. They had a special boarding line for business, boarding was very efficient and fast. 767 cabin is really beautiful, well appointed and comfortable even for longer flights. Welcome champagne offered and menus distributed. Food, once again, excellent and high quality, as well as drinks options. From Almaty to Hong Kong, the longest portion, I was invited to the lounge, but as I entered it, I was advised that Air Astana passengers cannot use the buffet facility or bar, and must pay for any drink consumption of drinks, even water. Noticed passengers from other airlines using the same lounge to have access to a full buffet and drinks choice, so very poor experience for Air Astana premium customers. Anyway, they also offered a separate line for business class and boarding was fast and efficient. Once again a 767 with beautiful cabin and very comfortable flat seats. Also this time, crew was courteous and friendly and dinner was of high quality, as well as drinks. They also offered a very nice ammenities kit and noise-reducing headsets, but wifi was not working on this flight. All in all, in those 3 flights, I received excellent service from professional and courteous flight attendants plus high quality ammenities and food / drink choices. Only aspect to be improved are the lounges experience, especially for international flights. But all flighst were ontime, with excellent crew and modern and well appointed planes/cabins, so I am looking forward to fly on Air Astana business class again in the future.",A320 / Boeing 767-300,Solo Leisure,Business Class,Tashkent to Hong Kong,October 2018,5.0,5.0,5.0,2.0,4.0,,4.0,yes
18390,Sky Express Airlines,1,"""requested a refund for the cancelled flight""",30th August 2022,True,"  We were scheduled for the flight to Zakynthos from Athens on flight GQ420 on July 12, 2022. Though we were able to check in (online) the night before and showed up 1-1/2 hours in advance of the scheduled 9:50 AM departure, we were told the flight had been cancelled. The service representative seemed a bit confused at first telling us it left that morning, then told us the flight had been canceled and that we were emailed and were not entitled to a refund. Ww ere never notified of the cancellation or any alternative options!  We had reserved an Airbnb on Zakynthos so we had to get there that day. Therefore, we had to take a taxi to a bus terminal, take a 4 hour bus ride to the ferry, then a two hour ferry ride to the island! We respectfully requested a refund for the cancelled flight to help recover the cost of the alternative transportation. They never responded to our emails.",,Couple Leisure,Economy Class,Athens to Zakynthos,July 2022,,,,1.0,,,1.0,no
6515,Cathay Dragon,1,"""Impressive experience""",14th December 2019,True,"  Qingdao to Hong Kong return in Business Class. Impressive experience, I did not expected such outstanding service on a 3-hours flight. Comfortable 2x2x2 seat arrangement, large seats (even if they cannot become a flat bad - but this is not required on such flight), large video screen with wide selection of movies, also very recent. Full meal with several courses served both ways, very good food and wine, with continuous refills of drinks, very kind and efficient cabin crew. Surprisingly service on this flight was better than on the following Hong Kong - San Francisco flight with Cathay Pacific - I was expecting the opposite. Flight from Qingdao left 40 minutes late (which is the rule for every flight leaving from Qingdao, airport is far too small for the present traffic volume) but arrived Hong Kong in time. Flight back perfectly on schedule, and no issues with luggage.",A330,Business,Business Class,Qingdao to Hong Kong,December 2019,4.0,5.0,5.0,5.0,5.0,,5.0,yes
21295,Turkmenistan Airlines,n,Turkmenistan Airlines customer review,3rd December 2006,False,Central Asian carrier on which I flew five segments in November 2006. Beijing (PEK) to Ashgabat (ASB) and back a one-way flight from Mary (MYP) to Ashgabat and a round-trip between Ashgabat and the northern town of Dashoguz (TAZ). All flights were on Boeings with 757s on the international legs and 717s domestically. The pilots were allegedly Western-trained and looked Russian but none said a word during my five flights. The planes weren't bad. The seats were maintained and the cabins were clean. There were other signs that this wasn't the Delta Shuttle. The bulkhead wall at the front of each cabin bore a framed photograph of the President For Life. Many passengers paid no heed to any rules about seatbelts or cabin movement. Boarding the plane was all pushing and shoving and the old ladies had the best moves. Aside from a flight map on the 757s there was no in-flight entertainment. The food was standard airline grub and flight attendants were reasonably diligent if unenthusiastic about serving drinks and responding to the call button which the passengers pushed without hesitation. There was no in-flight magazine. Luggage limits were nonexistent but in a country where almost everything has to be imported I was sympathetic. The space on my flight was so oversubscribed that three trucks of baggage were left behind. The stranded bags were to arrive on the next flight with room. Turkmenistan Airlines has no web site. It has no frequent flyer program that I could discern and is not part of any alliance. It serves the major cities in Turkmenistan in the sense that it connects them to Ashgabat. The foreign destinations include London Beijing Moscow Bangkok and Istanbul. Flights through Ashgabat are cheap; flights to Ashgabat are expensive. Turkmenistan Airlines is cut- rate transportation which isn't so bad if your expectations are low.,,,,,,,,,,,,,no
22981,Xiamen Airlines,3,"""transferring in Xiamen was ridiculous""",12th May 2016,False," My family and I travelled from Beijing To Taipei Songshan (TSA), and Taipei TPE to Beijing, both times with Xiamen Airlines in Economy class. The Good - compared to other Chinese airlines, we found the food and drinks service to be much better. The legroom on the Boeing 787 from PEK to XMN and vice-versa was very good, and the staff were friendly. An OK selection of IFE was provided on the 787 including a range of English speaking movies and many games. On 3 of the 4 flights the kids were handed an activity pack which they enjoyed playing (for about 10 minutes). The Bad - legroom on the 737 between Xiamen and Taiwan was poor. Transferring in Xiamen in both directions was ridiculous. When we checked in at Beijing, our bags were tagged through to Taipei, however we were advised that we had to go to a separate counter at Xiamen to get our boarding passes for the flight from Xiamen to Tiapei. It was not easy to find where this was once we got to Xiamen, there were no instructions nor staff to assist. Once we found the counter we were told that it didn’t open until 2 hours before the flight (we had a 3 hour layover), and there was nowhere available to sit and wait. Taking this in our stride, it was like a “red rag to a bull” when as soon as we boarded the flight to Taipei they showed us a video promoting how good Skyteam was, with their “Seamless transfer service”. It was worse when returning from Taipei. The bags could only be tagged to Xiamen, and boarding passes could only be provided to Xiamen. There was no specific transfer facility for connecting passengers that we could use to re-check bags onwards to Beijing, and no instructions whatsoever provided to assist in the transfer. Fortunately we live in mainland China so could find our way around the system, however it would have been utterly confusing for passengers who had never been to China before, with no assistance provided. If Xiamen Airlines has aspirations of being a true regional and international player, it needs to revisit its transfer services through Xiamen and replicate those of other successful airlines in performing transfers. Its part-parent airline China Southern does a dramatically better job handling passengers through Guangzhou.",Boeing 787 / Boeing 737,Family Leisure,Economy Class,PEK to TSA via XMN,May 2016,3.0,5.0,5.0,1.0,3.0,,2.0,no
17856,Shanghai Airlines,8,"""punctuality, good service""",4th January 2020,True,"  Budapest to Shanghai New Years Day 2020. Flew on a newer B787-9. They had opened not less than 8 check-in counters in Budapest of which 4 are for Sky Priority only; thus very comfortable. BPs issued immediately including the following flight with China Eastern SVG-HKG (counts as international flight). As being Flying Blue Silver I was accessed to Sky Priority counters and was checked in in a few Minutes; prioritised in all queues and boarding, and eventually (at gate) upgraded from Economy to Economy Plus as flight was full in lower classes and in business. I was lucky not to have my original selected seat as all seat were taken in economy. Trip went smooth, captain made kind announcements. FAs were also kind and firm though listening. Lots of food, they ran out of wine and beers within an hour after departure. Very embarrassing but quite typical for Chinese airlines (apart from Cathay Pacific?). Bought own supplies of champagne from airport. FA off course accepted it as they know they are running short, especially on a New Years’ Day. I brought my own glasses and let them chill down my champagnes. Good food, two full hot meal rounds with options. Catered from Budapest, thus Western oriented unlike when departing from Shanghai. I had at least 6 hot meals on board (many were meals in excess as passengers were stuffed after New Year) and could have had more if I could manage. At breakfast service, still 24 dinner meals were left. Clean toilets throughout. Blankets and earplugs provided. Individual IFE was extremely good and technically the best I have seen in the skies. Content limited to some 15 Western movies but that suffices as their choice goes beyond the most popular Hollywood stuff. Simultaneously, plenum monitors display the current flight data and maps. Arrived 25 Minutes early in the huge, completely over-dimensioned Shanghai airport. I rate them high as for Qatar Airways though the product pros and cons are quite different. The trick is not to have Westernised expectations and to appreciate all, what they do for you if you are firm with wishes and appreciative. Best with Shanghai Airlines was the new aircraft, its punctuality, good service, surprising foods (I tried and finished all sorts of dishes they offered, all were fairly tasty), and an unbeatable price.",Boeing 787-9,Solo Leisure,Economy Class,Budapest to Shanghai,January 2020,4.0,5.0,3.0,5.0,5.0,,5.0,yes
13746,LIAT,1,"""little or no communication""",12th April 2016,False,"  On 02/04/2016 I travelled from London Gatwick to Grenada via Barbados with LIAT. I was due to arrive in Grenada at about 9.20 pm on the same day. To make a long story short, LIAT delayed and eventually cancelled the Barbado to Grenada leg of the journey with no explanation whatsoever to any of its customers. We were placed in a hotel and left all day Sunday 03/04/2016. All efforts to find out when we would leave for Grenada were met with ""we don't know"" - even in Grenada my husband was told ""we don't know"". There was little or no communication - no agent consulted with us. It took 8 hours to get from London to Barbados and 48 hours to get from Barbados to Grenada and LIAT did not even say why the aircraft was delayed/cancelled. Shame on you LIAT, never again.",,Family Leisure,Economy Class,LGW to GND via BGI,April 2016,1.0,1.0,1.0,1.0,,,1.0,no
7223,CityJet,2,CityJet customer review,17th September 2014,False,London City to Florence on Aug 31 2014 and Florence to London City on Sep 6 2014. Will never fly this airline again. It's partly an issue with them and partly the airports I flew in and out of: London City and Florence. On both ends dropping off bags was a mess. No one seemed to know where I should go and people (CityJet staff) told me 2 different things. No one informs you that you can't check in until 2 hours before (until you've waited in different lies because misdirected) and there is no CityJet counter in Florence. Not labelled anywhere. Had to ask 3 people and be told different things before I ended up in right place (aeroporto di firenze counter). Never again.,,,Economy Class,,,3.0,2.0,3.0,,1.0,,3.0,no
14719,Meridiana,9,Meridiana customer review,17th October 2011,False,Having had a great outbound flight and reviewed it as such I was a bit apprehensive about our return flight from Florence to Gatwick. Nothing to worry about as it was also fine. Left on time arrived at Gatwick a few minutes early. Efficient check in at Florence airport and friendly service on board. Only comment is that we had paid for extra legroom seats by the emergency exit and mine was by the window and it is a different design from the others in the row and was uncomfortable. Fortunately we were able to move to other seats in the same row across the aisle. So I would suggest you avoid a window seat by emergency exit - maybe we were just very lucky.,,,Economy Class,,,,,,,,,4.0,yes
19309,Sunwing Airlines,1,"""never try this airline again""",21st February 2023,True,  On the way back to airport from resort they refused to take us to the airport and we had to pay from our own pocket. When we got to airport our Sunwing flight was delayed for 5 hours without letting us know. I had activated my flight alert for any changes but they still didn’t update us. When it comes to responsibilities they do not care who you are. Worst vacation we ever had and we never try this airline again that’s for sure.,,Family Leisure,Economy Class,Cancun to Toronto,February 2023,1.0,1.0,,1.0,,,1.0,no
9115,Eurowings,1,"""Long lines, no self-kiosk help""",29th May 2022,False,"  Most disorganized ever encountered at Eurowings, Heathrow. Long lines, no self-kiosk help. Called London for wheelchair at Hamburg and Paris, assured on phone. Not at Hamburg, not at Paris, long walk airport distances. ",,Family Leisure,Economy Class,London to Paris via Hamburg,May 2022,3.0,3.0,3.0,1.0,,,3.0,no
212,Aer Lingus,2,"""Never again will I fly Aer Lingus""",14th June 2023,True,"  We booked a ten-day tour of Ireland thru Trafalgar Tours. The tour started 19 May 2023. We wanted to arrive early and see some of Dublin before the tour started so we booked an Aer Lingus flight from Orlando Florida to Dublin on the 17th of May. Our flight was due to depart at 8:30 PM and arrive in Dublin at 9:30 AM on the 18th of May. (Aer Lingus Flt. 120). We were told that the incoming equipment had been delayed and that we would depart at 9:30 PM. The incoming aircraft arrived shortly after 9 PM followed by a fire truck! We were told we would depart at 10;30 then, 11:30. this went on till 2 AM on the 18th. They said the flight was canceled, but we would be boarded in the morning as soon as the aircraft was repaired. Imagine 300 people scrambling to get their checked luggage and make their way to the check in desk to get a hotel voucher (we found out that they booked the hotel rooms at 9:00 PM that night), madness. We got to the hotel at 4:30 AM. We had three hours sleep and returned to the airport to see if our plane had been repaired, it hadn't. we were told we would be boarding Aer Lingus flight 34 for Manchester, England at 5:45 PM. We arrived in Manchester at 7:20 AM on the 19th of May. Our connecting flight (Aer Lingus 3327) to Dublin did not leave till 5:45 PM that night. We arrived in Dublin at 6:40 PM. We arrived 33 hours late. We had paid for a hotel room in Dublin for the night of the 18 that we didn't get to use, and we missed the complete first day of our tour. We filed a claim with Aer Lingus for $ 600 each for me and my wife per EU rules. We also asked for $220 for the hotel room we had paid for, $174 for meals and $800 for the first day of the tour that we missed out on. They have offered us $147 in total compensation although they are responsible for our losses. Never again will I fly Aer Lingus or say a good word about them. ",A330,Family Leisure,Economy Class,Orlando to Dublin,May 2023,3.0,4.0,4.0,3.0,4.0,4.0,2.0,no
5231,Bahamasair,1,"""really took care of us""",31st August 2019,True," When I tell you the reviews was so discouraging and negative but go against all odds. The flight from Freeport to Fort Lauderdale was peaceful and safe. It was 3 members in my party. We were scheduled to return to the US on Sunday but do to hurricane Dorian on the way we had to leave the resort in a hurry. All the airlines we're booked! The only thing available was Bahamasair and I'm so grateful and took a huge leap of faith and booked. The aircraft took off on time with no delays, no turbulence and the pilot and team we're all will dress and pleasant. The Bahamians really took care of us. The flight was maybe 25 minutes with safe landing. When I read many of the reviews people were complaining about delays. Remember delays not denied. Thank you Bahamasair.",,Family Leisure,Economy Class,Freeport to Fort Lauderdale,August 2019,5.0,5.0,,5.0,,,1.0,yes
22876,WOW air,1,"""They rip you off""",29th September 2018,True,  Copenhagen to Toronto via Keflavik. The worst company When i came from states to Europe they didn't charge me for my personal item. But when I travelled from Europe to Toronto for the same personal item they charged me 100$. This is ridiculous with the same personal small bag. I will never fly with this company again. They rip you off.,,Family Leisure,Economy Class,Copenhagen to Toronto via Keflavik,September 2018,2.0,2.0,1.0,1.0,4.0,1.0,1.0,no
13848,Lion Air,1,"""fare is far from low cost""",13th May 2022,True,"  You literally can expect to be always delayed with Lion Air. When it’s not, it’s going to surprise you like never before. I understand that this is a low cost airline, but Lion Air’s fare is far from low cost. It costs a minimum £50 to fly 1.5h from Jakarta to Denpasar.  I need to arrive 2h before my flight but I’d have to wait for this airline to ruin my day?  I know sometimes it’s inevitable as Lion Air serves routes that other airlines don’t, but oh my goodness, it’s just not worth it.",Boeing 737-900,Solo Leisure,Economy Class,Jakarta to Denpasar,May 2022,1.0,2.0,,1.0,,,1.0,no
11149,Iberia,2,"""most uncomfortable"" ",25th April 2023,True,  This has to be the most uncomfortable travel experience. No free catering and a seat pitch that resulted in me being unable to sit without hitting the seat in front. Not possible to pick a seat without payment. ,A319,Business,Economy Class,Madrid to Munich,April 2023,1.0,2.0,,3.0,,,2.0,no
9105,Eurowings,1,"""Terrible Customer Service"" ",6th July 2022,True," Terrible Customer Service, no one to talk to, no one answers any e-mail, No one takes any responsibility. Suitcase did not arrive at destination, already waiting a week for any update or need on the where about off the baggage. Completely ruined my trip to Germany. 30€ for each of the first 3 days? Many emails have been send to Eurowings customer service and several Managers without any response. ",,Family Leisure,Economy Class,London to Cologne,June 2022,1.0,1.0,,1.0,,,1.0,no
5094,Azerbaijan Airlines,1,"""I will recommend the airline""",17th September 2017,False,"  Lviv to Baku. I bought ticket 5 months earlier and it was cheap price (84EUR return). When we arrived at Lviv airport we've realised that our flight is the last flight of a day, so airport wasn't busy at all. Boarding was quick and comfortable, cause there wasn't much passengers on this flight (more than half of seats was unoccupied). Flight took about 4 hours, and because of low occupancy I can lied on 3 seats in row, so I slept about 2,5h-3h of flight. Stewardesses were the most polite and friendly airplane stuff I've ever met. There were absolutly no problems with getting additional blankets or something to drink (free of curse). In flight entertainment system was headphones with sort of a MP3 player in armrest and TV screen for every 6 seats. It was surprising, because I've never seen on such short flights IFE in economy. The only one problem was that wifi didn't worked at all. We landed on time at Baku airport (about 4am). It not took much time to get out of terminal and enter bus that took us direcktly to city center. Interesting thing about this airline is that on wide body jets AZAL have strange numeration - on the left seats are ABC (like normally), but on the right they have letters JKL (where normally is DEF) - this made me a little bit confused (first time seen something like that). Ending, I honestly can say that I will recommend the airline to enybody - it is great quality for cheap price.",A320-200,Couple Leisure,Economy Class,Lviv to Baku,June 2017,5.0,5.0,5.0,5.0,4.0,,5.0,yes
7055,China Southern Airlines,1,"""comfortable and happy on this flight""",11th April 2022,True,"  I would like to thank the crew and staff for their warm service, I felt very comfortable and happy on this flight. I arrived safely in Sydney on the 30th of March 2022. Everything went smoothly during the departure preparation process at Baiyun Airport such as check-in and baggage check-in.  I was impressed by the seriousness and enthusiasm of the crew on this flight and would consider choosing China Southern Airlines again if I had the chance.",,Solo Leisure,Economy Class,Guangzhou to Sydney,March 2022,5.0,5.0,5.0,5.0,5.0,2.0,5.0,yes
